Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
administrasi paja pedoman praktis bagi wajib pajak di indonesia,erlangga,2014,jakarta,pandiangan liberti,akuntansi
advanced accounting eleventh edit,pearson,2012,england,beams floyd a anthony joseph h bettinghaus brucesmith kenneth a,akuntansi
advanced fincancial reporting an ifrs perspect,mc graw hill education,2016,singapura,lam nelsonyuen kpkwong jasmine,akuntansi
akuntansi suatu antar buku edisi,salemba empat,2019,jakarta,sasongko catur,akuntansi
akuntansi bas online e accounting konsep teknik dan aplikasi program zahir online version build,gava media,2020,jakarta,martinus robert hutauruk,akuntansi
akuntansi biaya,graha ilmu,2006,yogyakarta,witjaksono armanto,akuntansi
akuntansi biaya dasar dan kembang edisi buku,salemba empat,2011,jakarta,raiborn cecily akinney michael r,akuntansi
akuntansi biaya dasar dan kembang edisi buku,salemba empat,2011,jakarta,raiborn cecily akinney michael r,akuntansi
akuntansi biaya tekan manajerial edisi keduabelas jilid,erlangga,2010,jakarta,horngren charles t datar srikant m foster george,akuntansi
akuntansi biaya edisi,salemba empat,2017,jakarta,siregar baldric,akuntansi
akuntansi biaya edisi,salemba empat,2019,jakarta,sasongko caturdunia firdaus ahmadabdullah wasilah,akuntansi
akuntansi biaya edisi revisi,graha ilmu,2013,yogyakarta,witjaksono armanto,akuntansi
akuntansi biaya jilid dengan tekan manajeri,erlangga,2011,jakarta,horngren charles t datar srikant m foster georgep a lestari,akuntansi
akuntansi biaya jilid dengan tekan manajeri,erlangga,2012,jakarta,horngren charles t datar srikant m foster georgep a lestari,akuntansi
akuntansi biaya lalu dekat manajeri,mitra wacana media,2009,jakarta,bustami bastiannurlela,akuntansi
akuntansi dasar untuk mula,erlangga,2011,jakarta,manurung elvy maria,akuntansi
akuntansi desa pandu tata kelola uang desa,pustaka baru press,2015,yogyakarta,sujarweni v wiratna,akuntansi
akuntansi forensik dan audit investigatif edisi,salemba empat,2016,jakarta,tuanakotta theodorus m,akuntansi
akuntansi informasi dalam ambil putu,pt . grasindo,2015,jakarta,sugiono ariefishak the,akuntansi
akuntansi intermediate ed,erlangga,2007,jakarta,kieso donal e,akuntansi
akuntansi intermediate edisi jilid,erlangga,2007,jakarta,weygandt jerry jkieso donald ewarfield terry d,akuntansi
akuntansi intermediate edisi jilid,erlangga,2008,jakarta,weygandt jerry jkieso donald ewarfield terry d,akuntansi
akuntansi internasion,bpfe,2009,yogyakarta,suwardi eko,akuntansi
akuntansi itu mudah pandu praktis ajar akuntansi bagi mula,mitra wacana media,2020,jakarta,paojan mas \ ' ud sutanto,akuntansi
akuntansi perilaku,salemba empat,2010,jakarta,lubis arfan ikhsan,akuntansi
akuntansi perilaku teori dan implementasi,andi,2010,yogyakarta,suartna i wayan,akuntansi
akuntansi perilaku akuntansi multiparadigma edisi,salemba empat,2017,jakarta,lubis arfan ikhsan,akuntansi
akuntansi uang aset tetap dan aset tak wujud,graha ilmu,2013,yogyakarta,purba marisi p,akuntansi
akuntansi uang teori dan praktik,andi,2019,yogyakarta,tm books,akuntansi
akuntansi uang bas psak,mitra wacana media,2017,jakarta,ati retna sari,akuntansi
akuntansi uang daerah bas akru,salemba empat,2018,jakarta,erlinarambe omar saktirasdianto,akuntansi
akuntansi uang dalam perspektif ifrs dan sak etap,mitra wacana media,2018,jakarta,supami wahyu setiyowati,akuntansi
akuntansi uang lanjut,bpfe,2010,yogyakarta,suparwoto l,akuntansi
akuntansi uang lanjut edisi ifr,erlangga,2011,jakarta,karyawati golrida,akuntansi
akuntansi uang lanjut perspektif indonesia advanced financial accounting buku,salemba empat,2014,jakarta,baker richard elembke valdean cking thomas ejeffrey cynthia gjusuf amir abadiwulandari etty retnomartani dwi,akuntansi
akuntansi uang lanjut perspektif indonesia advanced financial accounting buku,salemba empat,2013,jakarta,baker richard elembke valdean cking thomas ejeffrey cynthia gjusuf amir abadiwulandari etty retnomartani dwibaker,akuntansi
akuntansi uang lanjut perspektif indonesia advanced financial accounting buku,salemba empat,2014,jakarta,jusuf amir abadiwulandari etty retnomartani dwibaker richard e lembke valdean c king thomas e jeffrey cynthia g nps sylvia veronica,akuntansi
akuntansi uang lanjut bas psak,salemba empat,2019,jakarta,martani dwihidayat taufikningrum agustin setyamaulana teguh i,akuntansi
akuntansi uang tengah dasar standar akuntansi uang baru,andi,2017,yogyakarta,setiawati lilisdiana anastasia,akuntansi
akuntansi uang tengah bas psak buku,salemba empat,2016,jakarta,martani dwihidayat taufiksiregar sylvia veronicawardhani ratnafarahmita ariatanujaya edward,akuntansi
akuntansi uang tengah bas psak edisi buku,salemba empat,2016,jakarta,martani dwisiregar sylvia veronicatanujaya edwardfarahmita ratna wardhani aria,akuntansi
akuntansi uang perspektif ifrs edisi buku,salemba empat,2014,jakarta,lam nelsonlau peter,akuntansi
akuntansi uang perspektif ifrs edisi buku,salemba empat,2014,jakarta,lam nelsonlau peter,akuntansi
akuntansi uang international financial reporting standards ifrs edisi jilid,erlangga,2012,jakarta,horngren charles t harrison jr walter t thomas c williamsuwardy themin,akuntansi
akuntansi uang international financial reporting standards ifrs edisi jilid,erlangga,2013,jakarta,horngren charles t harrison jr walter t thomas c williamsuwardy themin,akuntansi
akuntansi koperasi,erlangga,2010,jakarta,rudianto,akuntansi
akuntansi koperasi dekat praktis susun lapor uang,graha ilmu,2013,yogyakarta,sudarwanto adenk,akuntansi
akuntansi manajemen,mitra wacana media,2017,jakarta,dermawan sjahrial,akuntansi
akuntansi manajemen konsep manfaat rekayasa,salemba empat,2001,jakarta,mulyadi,akuntansi
akuntansi manajemen usaha jasa,graha ilmu,2009,yogyakarta,ikhsan arfan,akuntansi
akuntansi manajemen sektor publik,salemba empat,2017,jakarta,bastian indra,akuntansi
akuntansi manajemen untuk hotel dan restoran edisi,andi,2014,yogyakarta,ibm wiyasha,akuntansi
akuntansi manajerial managerial accounting edisi buku,salemba empat,2015,jakarta,hansen don r mowen maryanne m,akuntansi
akuntansi manajerial managerial accounting edisi buku,salemba empat,2011,jakarta,hansen don r mowen maryanne m,akuntansi
akuntansi manajerial managerial accounting edisi buku,salemba empat,2013,jakarta,garrisonnoreenbrewer,akuntansi
akuntansi manajerial managerial accounting edisi buku,salemba empat,2013,jakarta,garrisonnoreenbrewer,akuntansi
akuntansi pajak,salemba empat,2014,jakarta,waluyo,akuntansi
akuntansi pajak lanjut,mitra wacana media,2010,jakarta,pardiat,akuntansi
akuntansi pajak hasil dasar ias no dan psak no,graha ilmu,2005,yogyakarta,purba marisi p andreas,akuntansi
akuntansi pajak hasil dasar uu nomor tahun tentang ubah empat atas uu nomor tahun tentang pajak hasil,graha ilmu,2009,yogyakarta,purba marisi p,akuntansi
akuntansi perintah,salemba empat,2009,jakarta,nordiawan deddiputra iswahyudi sondirahmawati maulidah,akuntansi
akuntansi perintah daerah buku,salemba empat,2017,jakarta,rusmana omanyuliansyah dyah setyaningrummaryani,akuntansi
akuntansi perintah indonesia,bpfe,2000,yogyakarta,baswir revrisound,akuntansi
akuntansi gabung usaha edisi,graha ilmu,2008,yogyakarta,purba marisi p,akuntansi
akuntansi perban tunjuk praktis operasional bank,graha ilmu,2005,yogyakarta,faud moh ramlym rustam dm,akuntansi
akuntansi perban teori dan soal latih,graha ilmu,2014,yogyakarta,gede adi yuniartapurnamawati i gusti ayuni luh gede erni sulindawati,akuntansi
akuntansi perban syariah,graha ilmu,2012,yogyakarta,muthaher osmad,akuntansi
akuntansi paja,salemba empat,2007,jakarta,agoes sukrisnotrisnawati estralita,akuntansi
akuntansi paja edisi,salemba empat,2009,jakarta,agoes sukrisnotrisnawati estralita,akuntansi
akuntansi paja edisi,salemba empat,2013,jakarta,agoes sukrisnotrisnawati estralita,akuntansi
akuntansi usaha jasa dan dagang,graha ilmu,2014,yogyakarta,meitriana made arysuwena kadek raitripalupi lulup endah,akuntansi
akuntansi sektor publik,andi,2009,yogyakarta,mardiasmo,akuntansi
akuntansi sektor publik akuntansi uang daerah edisi,salemba empat,2008,jakarta,halim abdul,akuntansi
akuntansi sektor publik di indonesia,bpfe,2009,yogyakarta,bastian indra,akuntansi
akuntansi sektor publik edisi,salemba empat,2014,jakarta,nordiawan deddihertianti ayuningtyas,akuntansi
akuntansi sektor publik edisi revisi,uii press,2016,yogyakarta,mahmudi,akuntansi
akuntansi sektor publik organisasi non laba,mitra wacana media,2008,jakarta,renyowijoyo muindro,akuntansi
akuntansi sektor publik akuntansi uang daerah edisi,salemba empat,2014,jakarta,halim abdulkusufi muhammad syam,akuntansi
akuntansi sektor publik suatu antar,erlangga,2005,jakarta,bastian indra,akuntansi
akuntansi suatu antar,rineka cipta,1999,jakarta,soemarso,akuntansi
akuntansi suatu antar revisi buku,salemba empat,2004,jakarta,soemarso s r,akuntansi
akuntansi suatu antar revisi buku,salemba empat,2014,jakarta,soemarso s r,akuntansi
akuntansi syariah di indonesia,salemba empat,2014,jakarta,nurhayati sriwasilah,akuntansi
akuntansi umkm kaji empiris praktis akuntansi umkm,"lp3m ( lembaga peneitian "" "" publikasi "" "" dan pengabdian masyarakat )",2020,yogyakarta,dr bambang jatmiko s e m si,akuntansi
akuntansi untuk koperasi dan ukm,salemba empat,2009,jakarta,trisnawani tuti,akuntansi
akuntansi untuk lsm dan parpol,wiley,2007,jakarta,bastian indra,akuntansi
akuntansi untuk usaha jasa dan dagang,graha ilmu,2006,yogyakarta,hermawan sigitmasyhad,akuntansi
akuntansi yayasan dan lembaga publik,erlangga,2007,jakarta,bastian indra,akuntansi
analisis data teliti ekonomi dan manajemen,politeknik harapan bersama tegal,2018,tegal,achmad sutanto s komhasan mohammad,akuntansi
analisis forecasting dan putus manajemen teori dan aplikasi metode analisis kuantitatif,politeknik harapan bersama tegal,2017,tegal,ridwan muhammadandri widiantomsisuli kemala seak,akuntansi
analisis jalur untuk riset bisnis dengan spss,politeknik harapan bersama tegal,2018,tegal,amaliyah siti,akuntansi
analisis lapor uang,politeknik harapan bersama tegal,2018,tegal,agustina putri rizki,akuntansi
analisis lapor uang financial statement analysis buku,rajawali pers,2012,jakarta,kasmir,akuntansi
analisis lapor uang financial statement analysis buku,salemba empat,2014,jakarta,wild john jsubramayam k r,akuntansi
analisis lapor uang dan aplikasi,politeknik harapan bersama tegal,2017,tegal,bahri kamal mmdewi s seadha diah ayu,akuntansi
analisis lapor uang proyeksi dan valuasi saham,politeknik harapan bersama tegal,2018,tegal,krisdiyawati sebudianto wahyuasrofi langgeng n s pdm si,akuntansi
analisis regresi terap dengan spss,graha ilmu,2008,yogyakarta,suharjo bambang,akuntansi
anggar usaha buku,bpfe,2003,yogyakarta,adisaputro gunawan,akuntansi
anggar usaha dekat akuntansi buku ii,bpfe,2000,yogyakarta,ahyari agus,akuntansi
anggar usaha dekat kuantitatif buku i,bpfe,2008,yogyakarta,ahyari agus,akuntansi
animasi kreatif fundamental dengan ds max,elex media komputindo,2007,jakarta,soma hari aria,akuntansi
aplikasi dasar komputer akuntansi guna myob account,andi,2008,yogyakarta,kuntoro agusirton,akuntansi
aplikasi excel pada manajemen uang,elex media komputindo,2006,jakarta,santososinggih,akuntansi
aplikasi isi spt masa pph pasal dan atau spt tahun s dan ss dan rekonsiliasi biaya gaji,mitra wacana media,2010,jakarta,tamsil raymond,akuntansi
aplikasi spss dalam model linier statistika,elex media komputindo,2007,jakarta,pramesti getut,akuntansi
asumsi going concern suatu tinjau hadap dampak krisis uang atas opini audit dan lapor uang,pt refika aditama,2015,bandung,yuniarti sri,akuntansi
asuransi konvesional syar ah bpj,trans medika,2016,yogyakarta,handayani diankusumastuty inggitasoeatmadji djoko wahono,akuntansi
audit bas isa international standards on audit,politeknik harapan bersama tegal,2012,tegal,bakti very kurnia dkk,akuntansi
audit forensik guna dan kompetensi auditor dalam berantas tindak pidana korupsi,salemba empat,2013,jakarta,tuanakotta theodorus m,akuntansi
audit uang sektor publik untuk lapor uang perintah daerah,graha ilmu,2013,yogyakarta,kayo amrizal sutan,akuntansi
audit kerja pada sektor publik,ugm press,2014,yogyakarta,zamzami faizmukhlisanissa eka pramesti,akuntansi
audit kerja pada sektor publik konsep praktik studi kasu,salemba empat,2010,jakarta,rai i gusti agung,akuntansi
audit sektor publik,pt . rajagrafindo persada,2008,jakarta,adisasmito wiku,akuntansi
audit sistem information dekat cobit,salemba empat,2007,jakarta,bastian indra,akuntansi
audit,mitra wacana media,2007,jakarta,gondodiyoto sanyoto,akuntansi
auditing konsep dasar dan pedoman periksa akuntan publik,bpfe,2004,yogyakarta,hartadi bambang,akuntansi
auditing tunjuk praktis periksa akuntan oleh akuntan publik buku edisi,graha ilmu,2010,yogyakarta,suhayati elyrahayu siti kurnia,akuntansi
auditing and assurance services an integrated approach fifteenth edit,salemba empat,2017,jakarta,agoes sukrisno,akuntansi
auditing edisi buku,pearson,2014,england,arens alvin a elder randal j beasley mark s,akuntansi
auditing edisi buku,salemba empat,2010,jakarta,mulyadi,akuntansi
auditing i dasar periksa akuntansi,salemba empat,2008,jakarta,mulyadi,akuntansi
auditing tunjuk praktis periksa akuntan oleh akuntan publik edisi buku,kencana,2011,jakarta,hery,akuntansi
auditing tunjuk praktis periksa akuntan oleh akuntan publik buku edisi,salemba empat,2014,jakarta,agoes sukrisno,akuntansi
azaz azaz market,gadjah mada university press,2001,yogyakarta,soedojo peter,akuntansi
badan layan umum dari birokrasi tuju korporasi,graha ilmu,2018,jakarta,dewi sartika,akuntansi
bank dan lembaga uang lain,melvana,2017,jakarta,orange ustadz,akuntansi
bank dan lembaga uang syariah,salemba empat,2012,jakarta,latumaerissa julius r,akuntansi
bank soal statistik dengan spss,kencana,2009,jakarta,soemitra andri,akuntansi
bank syariah,elex media komputindo,2005,jakarta,santososinggih,akuntansi
ajar microsoft excel mahir step by step,informatika,2008,bandung,gumawang atang,akuntansi
ajar mudah statistika ekonomi dan bisnis,buku kedokteran,2003,jakarta,olson james,akuntansi
beyond budget,salemba medika,2013,jakarta,dahlan m sopiyudin,akuntansi
biaya dan harga pokok,bright publisher,2018,jakarta,andrija puharich,akuntansi
bisnis edisi delap jilid,egc,2011,jakarta,dinata deden indra,akuntansi
bisnis edisi delap jilid,andi,2017,yogyakarta,suharto,akuntansi
bisnis syariah,erlangga,2007,jakarta,griffin ricky w ebert ronald j,akuntansi
budgeting rencana kerja koordinasi kerja awas kerja,politeknik harapan bersama tegal,2020,tegal,affan ghofar mushofa,akuntansi
buku ajar entrepreneurship untuk mahasiswa buah solusi untuk siap mandiri,tim,2012,jakarta,handayani desi,akuntansi
buku pandu praktis manajemen uang dan akuntansi untuk eksekutif usaha,diva press,2012,yogyakarta,naga sholeh s,akuntansi
business connecting principles to practic,gazzamedia,2013,solo,niken tf alimah dkk,akuntansi
cost management a strategic emphasis sixth edit,kencana,2020,jakarta,bahtiar mohamad,akuntansi
creative accounting ungkap manajemen laba dan skandal akuntansi,mcgraw-hill,2013,new york,blocher edward j stout david e juras paul e cokins gary,akuntansi
dasar dasar manajemen,intelegensia media,2017,jakarta,widodo,akuntansi
dasar ekonometrika edisi tiga jilid,erlangga,2005,jakarta,kroenke david m,akuntansi
dasar manajemen,pustaka pelajar,2011,yogyakarta,liliweri alo,akuntansi
dasar manajemen uang buku,prenadamedia group,2016,jakarta,bambang kusbandrijo,akuntansi
dasar manajemen uang buku,gadjah mada universiti press,2009,yogyakata,manullang m,akuntansi
dasar manajemen uang usaha edisi lima jilid,salemba empat,2009,jakarta,brighamhouston,akuntansi
dasar ajar usaha,bumi medika,2015,jakarta,nair muralitharanpeate ian,akuntansi
dasar paja dan akuntansi pajak,elex media komputindo,2010,jakarta,zaki aliwinarno edycommunity smitdev,akuntansi
delapan langkah kreatif tata kelola perintah dan perintah daerah,andi,2005,yogyakarta,turban efriamaronson jay eliang ting peng,akuntansi
delapan langkah kelola aset daerah tuju kelola uang daerah baik edisi revisi,informatika,2019,bandung,suyantoramadhani kurniawan nurmandala satria,akuntansi
desain proposal teliti akuntansi uang,politeknik harapan bersama tegal,2014,tegal,siswoyo,akuntansi
economic analysis of law seri analisis ke ekonomian tentang hukum seri antar edisi revisi,politeknik harapan bersama tegal,2012,tegal,anggraeni nurul,akuntansi
economic approach to law seri analisis ke ekonomian tentang hukum seri ii edisi pertama,informatika,2015,bandung,pratama i putu agus eka,akuntansi
economics global edition principles problems and polici,kencana,2013,jakarta,sugianto fajar,akuntansi
ekonometrika esensi dan aplikasi dengan guna eview,bumi aksara,2012,jakarta,suin nurdin muhammad,akuntansi
ekonometrika dekat teori dan terap,andi,2013,yogyakarta,kristanto philip,akuntansi
ekonomi internasional edisi lima jilid,erlangga,2012,jakarta,ariefianto moch doddy,akuntansi
ekonomi uang dan perban teori dan aplikasi,erlangga,1997,jakarta,salvatore dominick,akuntansi
ekonomi kreatif ekonomi baru ubah ide dan cipta peluang,rineka cipta,2008,jakarta,tjiptoherijanto prijonosoesetyo budhi,akuntansi
ekonomi makro islam dekat teoreti,salemba empat,2015,jakarta,mukhlis imam,akuntansi
ekonomi politik cakup bagai teori dan konsep yang komprehensif,salemba empat,2013,jakarta,suryana,akuntansi
ekonomi teknik,kencana,2008,jakarta,nasution mustafa edwinhuda nurulwiliasih rantiidris han,akuntansi
ensiklopedia paja indonesia,pelangi mizan,2015,bandung,afzalur rahman,akuntansi
entrepreneur dan entrepreneurship,mizan,2015,bandung,usmani ahmad rofi,akuntansi
entrepreneurship successfully launching new ventur,graha ilmu,2012,yogyakarta,widjaya iwan kurniawan,akuntansi
environmental economics an introduction sixth edit,politeknik harapan bersama tegal,2016,tegal,noviningtyas nur indah,akuntansi
esensi dan terap erp dalam bisni,politenik harapan berama teal,2016,tegal,fernanda mohammad faizrusmono herisatriaji moh fakih,akuntansi
esiklopedia ekonomi uang dan dagang,informatika,2017,bandung,hariyanto bambang,akuntansi
essential of market,informatika,2018,bandung,hariyanto bambang,akuntansi
essentials of financial management third edit,mcgraw-hills,2012,new york,perreault jr william d cannon joseph p mccarthy e jerome,akuntansi
etika bisnis dalam islam,egc,2011,jakarta,hendrik,akuntansi
etika bisnis dalam perspektif islam,direktorat pendidikan dan pelayanan masyarakat kpk,2019,jakarta,kpk,akuntansi
etika bisnis dan profesi untuk direktur eksekutif dan akuntan edisi buku,kencana,2013,jakarta,fauzia ika yunia,akuntansi
farm manag,rajawali pers,2017,jakarta,achmad sofyan hanif,akuntansi
filsafat ilmu akuntansi,politeknik harapan bersama tegal,2015,tegal,setiawan noviar angga,akuntansi
financial mathemat,mitra wacana media,2016,jakarta,iwan triyuwono,akuntansi
