judul,penerbit,tahun_terbit,tempat_terbit,pengarang,tipe_koleksi,prediksi
Kolaborasi Mantap PHP + Jquery dengan IBM DB2 & MySQL,Politeknik Harapan Bersama Tegal,2020,Tegal,Very Kurnia Bakti M KomArif Rakhman SE S Pd M  KomMohammad Rijal Arfani,informatika,laporan pkm
Koleksi Program Tugas Akhir dan Skripsi dengan FoxPro 9,Gagas Media,2014,Jakarta,Dika Raditya,informatika,informatika
Asuhan Neonatus bayi dan anak balita edisi revisi,salemba Medika,2013,Jakarta,Dewi Vivian Nanny Lia,kebidanan,kebidanan
Asuhan Patologi Kebidanan,TIM,2013,Jakarta,Rukiyah Ai YeyehYulianti Lia,kebidanan,kebidanan
Asuhan Persalinan Normal,Nuha Medika,2009,Yogyakarta,SujiyatiniMufdlilahHidayat Asri,kebidanan,perhotelan
Asuhan Persalinan Normal & Inisiasi Menyusu Dini,JNPK-KR/POGI,2004,Jakarta,IBI (Ikatan Bidan Indonesia),kebidanan,prosiding
Asuhan Tumbuh Kembang Neonatus Bayi-Balita dan Anak Pra-Sekolah,Politeknik Harapan Bersama Tegal,2015,Tegal,Rohmawati Nur,kebidanan,kebidanan
At a glance Hematologi,P.T Gelora Aksara Pratama,2006,Jakarta,Neal M J,kebidanan,textbook
At a Glance Sistem Reproduksi,Erlangga,2009,Jakarta,Harwood Laurence MMcKendrick Jhon EWhitehead Roger C,kebidanan,farmasi
Atlas Anatomi Manusia Sobotta Jilid 1,Erlangga,2006,Jakarta,Heffner Linda JSchust Danny J,kebidanan,akuntansi
Atlas Anatomi Manusia Sobotta Jilid 2,EGC,2000,Jakarta,Putz RPabst R,kebidanan,kebidanan
Atlas berwarna & teks fisiologi Edisi 4,EGC,2000,Jakarta,Putz RPabst R,kebidanan,kebidanan
Diet Sehat Golongan Darah AB,Prestasi Pustaka,2007,Jakarta,Kotzman Anna C,kesehatan,kesehatan
Diet Sehat Penderita Asam Urat,Bhuana Ilmu Populer,2010,Jawa Tengah,D\'Adamo Peter J,kesehatan,farmasi
Ekonomi Kesehatan,Salemba Empat,2014,Jakarta,Effendi NurySetiawan Maman,kesehatan,akuntansi
English for Widwives,Trans Info Media,2009,Jakarta,Maryunani AnikPerwata Annie,kesehatan,kebidanan
Ensiklopedia Jus Buah dan Sayur untuk Penyembuhan,PT. Gramedia,2005,Jakarta,Nugroho Amien,kesehatan,kesehatan
Ensiklopedia Tanaman Obat Indonesia: 101 Tumbuhan Obat Menakjubkan untuk Kesembuhan dan Kebugaran Optimal,Pelangi Mizan,2015,Bandung,Afzalur Rahman,kesehatan,agama
Etika & hukum kesehatan,Politeknik Harapan Bersama Tegal,2015,Tegal,Nurhalimah,kesehatan,laporan kp
Etika Profesi Tenaga Kesehatan,Pustaka Rihama,2010,Yogyakarta,YantiEko Nurul W,kesehatan,kebidanan
Fisika Kedokteran,Andi,2010,Yogyakarta,Priyambodo Tri KuntoroJati Bambang Murdaka Eka,kesehatan,teknik
Fisika Kesehatan,Erlangga,1985,Jakarta,Halliday DavidResnick Robert,kesehatan,teknik
Algoritma dan Struktur Data dengan C#,Andi,2009,Yogyakarta,Nugroho Adi,komputer,informatika
Algoritma Genetika : metode komputasi evolusioner untuk menyelesaikan masalah optimasi,Andi,2014,Yogyakarta,Zukhri Zainudin,komputer,elektronika
Algoritma Pemrograman,Andi,2006,Yogyakarta,Suarga,komputer,informatika
Algoritma Pemrograman menggunakan C++,Elex Media Komputindo,2005,Jakarta,Kadir AbdulHeriyanto,komputer,informatika
"AlgoritmaÂ &Â PemrogramanÂ dalam Bahasa Pascal, C & C ++ Edisi Keenam",Informatika,2016,Bandung,Munir RinaldiLidya Leony,komputer,komputer
Aljabar Linier Dasar,Andi,2009,New York,Santosa R Gunawan,komputer,teknik
Analisa Data Profesional dengan Excel 2010,Politeknik Harapan Bersama Tegal,2018,Tegal,Miftakhul Huda M KomRohmani Imam,komputer,prosiding
Analisa Desain & pemrograman Berorientasi obyek dg UML dan VB.NET,Politeknik Harapan Bersama Tegal,2016,Tegal,Fauzi Al,komputer,komputer
Analisa Kebutuhan Dalam Rekayasa Perangkat Lunak,Politeknik Harapan Bersama Tegal,2015,Tegal,Aditiya Y S Ikaf,komputer,laporan ta / kti
Analisis & Desai Aplikasi Multimedia untuk Pemasaran,Bumi Aksara,2012,Jakarta,Cahyadi Wisnu,komputer,mesin
Laporan Kuliah Kerja Lapangan Oracle Indonesia (KKL),Politeknik Harapan Bersama Tegal,2017,Tegal,Eko Budihartono ST M KomWijaya Hendra Rahmat,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan Pada Blanja.com ( e-commerce blanja.com ) (KKL),Politeknik Harapan Bersama Tegal,2016,Tegal,Prasetyo Daniel Eka,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan Pada Blanja.com (KKL),"LP3M (Lembaga Peneitian, Publikasi , dan Pengabdian Masyarakat)",2018,Yogyakarta,DR  Bambang Jatmiko S E  M Si ,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan pada Bursa Efek Indonesia (KKL),UGM Press,2009,Yogyakarta,Rahardjo Budi,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan Pada Icon Plus (PT. Indonesia Comnet Plus) (KKL),Politeknik Harapan Bersama Tegal,2017,Tegal,Priadi AjiPrasetya Putra Nugraha M Pd,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan Pada ID-SIRTII/CC (KKL),Politeknik Harapan Bersama Tegal,2017,Tegal,Gusti Nindi PrimaAgustinanda ArdiansyahRiadi PascarYuniardhi N RendiPrasetyo Alif,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan Pada Jakarta Smart City (KKL),Politeknik Harapan Bersama Tegal,2017,Tegal,Maulana Yuniar FajarKomansyah ArifKurniawan TriFurqoni Edy AkbarRahman Nur Fathur,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan pada Kementerian Komunikasi dan Informatika (KKL),Politeknik Harapan Bersama Tegal,2017,Tegal,Kurniawan TriRahman Nur FathurFajari AkhmadGhofur M Abdul,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan pada PT. Bursa Efek Indonesia (KKL),Politeknik Harapan Bersama Tegal,2016,Tegal,Musyaffa EkkyBudiarto Revo AgusArtha Patuh BudiTriyono Amar,laporan kkl,laporan kkl
Laporan Kuliah Kerja Lapangan pada PT. Oracle Indonesia (KKL),Politeknik Harapan Bersama Tegal,2018,Tegal,Ruchmanah Muhammad AdiMahmud AminDarmawan BudiInsani Arizqi ArifulRega P AzmiSatria R Jonathan,laporan kkl,laporan kkl
Website profil MAN Brebes (KP),Politeknik Harapan Bersama Tegal,2013,Tegal,Khasanah Uswatun,laporan kp,laporan kp
Website Profil MI Mafatihul Huda Dukuhrantan (KP),Politeknik Harapan Bersama Tegal,2013,"Sebastopol, CA",Hestuti Emy Puji,laporan kp,laporan kp
Website Profil MTs Al-Islamiyah Danawarih (KP),Politeknik Harapan Bersama Tegal,2015,Tegal,Darsiti,laporan kp,laporan kp
Website profil MTs Ma'arif NU Sigedong kecamatan bumijawa (KP),Politeknik Harapan Bersama Tegal,2014,Tegal,Rosita Yeni,laporan kp,laporan kp
Website Profil MTs Negeri Lebaksiu (KP),Politeknik Harapan Bersama Tegal,2014,Tegal,Pratama Ryan Gita,laporan kp,laporan kp
Website profil mts.nu wahid hasyim talang kabupaten tegal (KP),Politeknik Harapan Bersama Tegal,2015,Tegal,Maghfurlah,laporan kp,laporan kp
Website Profil My Property Jakarta (KP),Politeknik Harapan Bersama Tegal,2015,Tegal,Sidik Moh Sapfan,laporan kp,laporan kp
Website Profil Pada Puskesmas Klikiran Kabupaten Brebes (KP),Politeknik Harapan Bersama Tegal,2013,Tegal,Kurniawan Riyan Hadi,laporan kp,laporan kp
Website Profil Pada SMP Negeri 3 Adiwerna (KP),Politeknik Harapan Bersama Tegal,2015,Tegal,Muzamil Aghni,laporan kp,laporan kp
"Website Profil pada Toko Kacamata  Senter Optik"" (KP)""",Politeknik Harapan Bersama Tegal,2014,Tegal,Fitriyah Laelatul,laporan kp,laporan kp
Pengelolaan Dana Desa Dalam Perspektif Democratic Governance (Studi Kasus Desa Tlagasana Kecamatan Watukumpul Kabupaten Pemalang) (laporan penelitian),Politeknik Harapan Bersama Tegal,2019,Tegal,Wildani Eko Nugroho M KomAulia SriMayningsih Ulfi,laporan penelitian dosen,laporan penelitian dosen
Pengembangan Deteksi Suhu Dan Kelembaban Laboratorium Elektronika Dengan Menggunakan Metode Fuzzy Logic (Laporan Penelitian),Politeknik Harapan Bersama Tegal,2015,Tegal,Ramadhani Ferry Candra,laporan penelitian dosen,elektronika
Pengembangan SIKAPTA (Sistem Informasi Kerja Praktek dan Pelaporan Tugas Akhir) Guna Meningkatkan Efektivitas Basis Data Hasil Tugas Akhir Mahasiswa (Laporan penelitian),Politeknik Harapan Bersama Tegal,2020,Tegal,Adi Candra Kusuma M PdSafitri Tyas Almira WidjiAdelia Dwi IsnaJimmy Wijaya Sabara STBaihaqi M  Noval,laporan penelitian dosen,laporan penelitian dosen
Pengendalian Internal Terhadap Pencegahan Fraud Pada Bisnis Online (Laporan Penelitian),Politeknik Harapan Bersama Tegal,2015,Tegal,Savietri Ayu,laporan penelitian dosen,laporan penelitian dosen
Peningkatan Kemampuan Komunikasi Matematis Mahasiswa DIII Teknik Mesin Dengan Metode Think Pair Share (laporan penelitian),Politeknik Harapan Bersama Tegal,2017,Tegal,Drs  Karta AptSusanti ElyRosalia Ika P MSc Apt,laporan penelitian dosen,laporan penelitian dosen
Peran Ekonomi Digital Melalui Teknologi E-Commerce dalam Meningkatkan Pendapatan UMKM di Tegal (laporan penelitian),Erlangga,2012,Jakarta,Tobing Bonggas L ,laporan penelitian dosen,prosiding
Perancangan Aplikasi Pencatatan Bisnis  Berbasis Android Untuk Umkm (Laporan Penelitian),Politeknik Harapan Bersama Tegal,2019,Tegal,MustaghfirohHariyanto S KomUlil Albab M T,laporan penelitian dosen,laporan pkm
Perbandingan Efektivitas Antibiotik Pada Pasien Pediatri Diare di Instalasi Rawat Inap RSIU Mutiara Bunda (Laporan Penelitian),Politeknik Harapan Bersama Tegal,2015,Tegal,Ristiayani Eni,laporan penelitian dosen,laporan penelitian dosen
Perbedaan Perilaku Penerapan Protokol Kesehatan Pada Ibu Menyusui Yang Sudah Divaksinasi Dan Belum Divaksinasi Covid-19 Di Wilayah Kecamatan Margadana Tegal (Laporan Penelitian),Politeknik Harapan bersama,2021,Tegal,Joko Santoso M FarmWilda Amananti S Pd  M SiEva Diatri Atiningsih,laporan penelitian dosen,laporan penelitian dosen
Persepsi Pengguna Aplikasi Pencatatan Keuangan Berbasis Android Pada Umkm Di Kota Tegal (Laporan Penelitian),Politeknik Harapan Bersama Tegal,2013,Tegal,Shodiq Muhammad Fajrus,laporan penelitian dosen,laporan penelitian dosen
Peningkatan Pengetahuan  Tentang Pembuatan Mouthwash Dari Daun Turi Sebagai Antifungi Pada Siswa SMAIbm (Iptek Bagi Masyarakat),Politeknik Harapan Bersama Tegal,2020,Tegal,Dewi Andri AniDr  Agus Susanto S Th M IkomHeni Purwantiningrum M  Farm Apt Meyliana Perwita Sari S Farm M Sc Apt,laporan pkm,laporan pkm
Peningkatan Pengetahuan Dan  Ketrampilan Tentang Pembuatan Pastry Dalam Masa Pandemi Pada Ibu-Ibu Dharma Wanita Kabupaten Tegal Ibm : Ipteks Bagi Masyarakat,Politeknik Harapan Bersama Tegal,2020,Tegal,Umi Baroroh S SiT M  KesUmriaty S ST  M KesNovia Ludha Arisanti S STSelvia Febriana,laporan pkm,laporan pkm
Peningkatan Pengetahuan Dan Keterampilan Ibu Pkk Kelurahan Muara Reja Kota Tegal: Edukasi Dan Pelatihan Pembuatan Stik Duri Ikan (LAPORAN PKM),Politeknik Harapan Bersama Tegal,2020,Tegal,Amin Nur Akhmadi MTMukhamad Khumaidi Usman ST M  EngMoh Agus Setiawan,laporan pkm,laporan ta / kti
Peningkatan Pengetahuan Dan Ketrampilan Pengelolaan Keuangan Bumdes Berbasis Gsuite Di Desa Kepunduhan,Politeknik Harapan bersama,2020,Tegal,Amin Nur Akhmadi M TMoh  Agus SetiawanMuhammad Khumaidi Usman M EngMukisto,laporan pkm,laporan ta / kti
Peningkatan Pengetahuan Masyarakat Tentang Pemakaian Masker Dan Penerapan Protokol Kesehatan Di Era New Normal Masa Pandemi Sebagai Upaya Pencegahan Penyebaran Covid 19 Di Kota Tegal,Politeknik Harapan Bersama Tegal,2020,Tegal,Ratih Sakti Prastiwi S ST MPHIroma Maulida SKM M EpidIntan Cristy Mayasari Rizqi Amd Keb,laporan pkm,laporan pkm
Peningkatan Pengetahuan Orang Tua Tentang Gizi Seimbang Untuk Anak Prasekolah Dimasa Pandemi Di Mi Bina Amanah Kabupaten Tegal (LAPORAN PKM),Politeknik Harapan Bersama Tegal,2020,Tegal,Kusnadi M PdInur Tivani S Si M PdWilda Amananti S Pd M SiDinda SwandayaniDwi Ayu RizkaDera Oktaviani,laporan pkm,laporan pkm
Peningkatan Pengetahuan Tentang Aplikasi Penggunaan Referensi Dalam Publikasi Karya Ilmiah (LAPORAN PKM),Politeknik Harapan bersama,2020,Tegal,Puput Dewi Anggraeni S ST Par  M  ParDidik Vurgiawan S Kom M M ParAri GunawanAji Bayu PangestuLaurensiaRafika Apriliani,laporan pkm,laporan pkm
Peningkatan Pengetahuan Tentang Kesiapan Mental Pada Ibu Hamil Menghadapi Persalinan Saat Pandemi Covid 19 Di Posyandu Debong Lor Kota Tegal Ibm (Iptek Bagi Masyarakat),Politeknik Harapan Bersama Tegal,2020,Tegal,Aldi Budi Riyanta S  Si MTHeru Nurcahyo S Farm M FarmApt Joko Santoso M FarmTrisetya Praninda,laporan pkm,laporan pkm
Peningkatan Pengetahuan Tentang Metode Bermain Aktif Pada Kelompok Guru Untuk Meningkatkan Perkembangan Anak Di Tk Miftahul Ulum Kabupaten Tegal (LAPORAN PKM),Politeknik Harapan bersama,2020,Tegal,Ita Purnama DewiM Sofyan Firmansyah M ASadiva Kayla TasyaDwi Nur KomalasariMohammad AlfianS E M Si,laporan pkm,laporan pkm
Peningkatan Pengetahuan Tentang Pembuatan Handwash  Daun Turi Pada Siswa Smk Bina Nusa Slawi (LAPORAN PKM),Politeknik Harapan Bersama Tegal,2020,Tegal,Fitri Amaliyah S EHesti Widianti S E  M SiAndri Widianto S E M SiMuhammad FatkhuroziMuhammad Mulki Aulia Alhaq,laporan pkm,laporan pkm
Hubungan Pengetahuan Dan Perilaku Konsumsi Tablet Tambah Darah Ibu Hamil Terhadap Kejadian Anemia Di Puskesmas Dukuhwaru (TA),Politeknik Harapan Bersama Tegal,2019,Tegal,Sani Susilo Kartika,laporan ta / kti,laporan ta / kti
"Hubungan Pengetahuan Ibu Hamil Tentang 3M (Mencuci Tangan, Memakai Masker, Menjaga Jarak) Terhadap Perilaku 3M Di Puskesmas Dukuhwaru Kabupaten Tegal (TA)",PolieknikHarapan Bersama Tegal,2016,Tegal,Ningrum Rapita Setia,laporan ta / kti,laporan ta / kti
Hubungan Tingkat Pengetahuan Kesehatan Reproduksi Remaja Terhadap Sikap Seksual Pranikah Pada Remaja Ipnu & Ippnu ( Ikatan Pelajar Nahdlatul'Ulama & Ikatan Pelajar Puteri Nahdlatul'Ulama ) Di Kecamatan Tegal Barat Tahun 2021 (TA),Politeknik Harapan Bersama Tegal,2018,Tegal,Rosaria Ika Pratiwi M Sc AptWilda Amananti S Pd M SiAmrina Nur Atiana,laporan ta / kti,laporan penelitian dosen
"Karakteristik Besi Plat St 37 Lebar 2,5 Cm Setelah Di Puntir Pada Mesin Pemuntir Besi (TA)",Politeknik Harapan Bersama Tegal,2013,Tegal,Mulyani Ani,laporan ta / kti,laporan ta / kti
Mesin Pemotong Rumput Menggunakan Remote Control (TA),Politeknik Harapan Bersama Tegal,2017,Tegal,Asikin OzyFauzi Koko RiskiMuchsinin Achmad TajriWicaksana JakaMiftakhul Huda M KomEko Budihartono S T M Kom,laporan ta / kti,laporan ta / kti
Mikrostruktur Besi Plat St 37 Lebar 3 Cm Setelah Dipuntir Pada Mesin Pemuntir Besi (TA),Informatika,2011,Bandung,Rangkuti Syahban,laporan ta / kti,laporan ta / kti
Pembuatan Alat Peraga Elektro Pneumatik Sebagai Media Pembelajaran (TA),Politeknik Harapan Bersama Tegal,2018,Tegal,Anggy Rima Putri M Farm AptMeliyana Perwita Sari M Farm AptLestari Tri Puji,laporan ta / kti,textbook
Pembuatan Conveyor Mesin Pemanen Padi Simple Harvester (TA),Politeknik Harapan Bersama Tegal,2014,Tegal,Afianto Khuzaeni Rizqi,laporan ta / kti,laporan ta / kti
Pembuatan Kerangka Mesin Pemanen Padi Simple Harvester  (TA),Politeknik Harapan Bersama Tegal,2019,Tegal,Lutfiansyah MuhammadRosyid Mustafa M KomM  Fikri Hidayatullah M Kom,laporan ta / kti,laporan ta / kti
Pembuatan Mata Pisau Pada Mesin Pencacah Plastik Menggunakan Baja Aisi 1020 (TA),Politeknik Harapan Bersama Tegal,2018,Tegal,Atmo Gayuh L S S STHamzah Fauzan Nur,laporan ta / kti,laporan ta / kti
Business economics and managerial decision making,McGraw Hill,2012,New York,Nickels William GMcHugh James MMcHugh Susan M,manajemen & bisnis,manajemen & bisnis
Business plan,Kencana,2018,Jakarta,Nugroho J  Setiadi,manajemen & bisnis,manajemen & bisnis
Business process management - konsep dan implementasi,Kencana,2008,Jakarta,Setiadi Nugroho J ,manajemen & bisnis,manajemen & bisnis
Change management,TIM,2012,Jakarta,Limakrisna NandanSusilo Wilhelmus Harry,manajemen & bisnis,manajemen & bisnis
Corporate strategy: konsep dan praktik,Andi,2011,Yogyakarta,Agustina Maria,manajemen & bisnis,manajemen & bisnis
Culturepreneurship,Politeknik Harapan Bersama Tegal,2018,Tegal,Arfan Haqiqi Sulasmoro M KomRizki Muhamad Faizal,manajemen & bisnis,manajemen & bisnis
"Dasar - dasar manajemen - teori, definisi dan konsep",C.V Andi Offset,2011,Yogyakarta,Tungga BK,manajemen & bisnis,manajemen & bisnis
Manajemen bandwith dengan simpleQueue untuk melimit bendwith dan dhcp server untuk mempermudah komunikasi data antar komputer di notaris Fitriyani nuggroho,Gadjah Mada UnivesityPress,2016,Yogyakarta,SatibiRokhman M  RifqiAditama Hardika,manajemen & bisnis,manajemen & bisnis
Manajemen pemasaran,Gosyen Publishing,2013,Yogyakarta,Febriawati Henni,manajemen & bisnis,manajemen & bisnis
